Etymon pt-PT	Etymon pt-PT Note	Headword	Transliteration	Urdu 	Urdu Wiktionary	Part of Speech	Pronunciation	Gender	Sense (Wiktionary)	Definition	Example	Source	Wiktionary (Hindi)	Notes	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural
carraguem		किराँची	kirām̐cī	کِران٘چی		noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart	reg. (W.). a two-wheeled covered cart.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%81%E0%A4%9A%E0%A5%80				fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो
chave		चाबी	cābī	چابی	https://en.wiktionary.org/wiki/%DA%86%D8%A7%D8%A8%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	1. a key. 2. a wedge. — ~ देना, or भरना, or लगाना (में), to wind up (as a clock); to lock.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%9A%E0%A4%BE%E0%A4%AC%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%9A%E0%A4%BE%E0%A4%AC%E0%A5%80	alternative form चाभी (cābhī)		object	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो
couve		गोभी	gobhī	گوبھی	https://en.wiktionary.org/wiki/%DA%AF%D9%88%D8%A8%DA%BE%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f 	cabbage & cauliflower		सब्ज़ी मंडी से बंद गोभी ज़रूर ख़रीदना। sabzī maṇḍī se band gobhī zarūr xarīdnā. Be sure to buy some cabbage from the vegetable market.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%97%E0%A5%8B%E0%A4%AD%E0%A5%80#Hindi	Some believe a derivative from Sanskrit गोजीह्विका (gojīhvikā), but is unlikely.			fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो
cristão	cristão; × H. musalmān, P. naṣrān	क्रिस्तान	kristāna			noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m., f.	christian	a Christian. — ~ हो जाना, to become a Christian.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8		religion								
cruz		क्रूस	krūsa	⁧کْرُوس⁩		noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	a cross		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%95%E0%A5%8D%E0%A4%B0%E0%A5%82%E0%A4%B8#Hindi		Christianity	Religion	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो
da Silva		डीसिल्वा	ḍīsilvā	⁧ڈی سلوا⁩		proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]	 m or f by sense	a surname from Portuguese, equivalent to English D'Silva or Desilva				https://en.wiktionary.org/wiki/%E0%A4%A1%E0%A5%80%E0%A4%B8%E0%A4%BF%E0%A4%B2%E0%A5%8D%E0%A4%B5%E0%A4%BE#Hindi										
dezembro	December	दिसंबर	disambara	دسمبر⁩ 		noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	December		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%A6%E0%A4%BF%E0%A4%B8%E0%A4%82%E0%A4%AC%E0%A4%B0&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A4%BF%E0%A4%B8%E0%A4%82%E0%A4%AC%E0%A4%B0	English?		month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो
espada	steel	इस्पात	ispāta	اسپات	https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D9%BE%D8%A7%D8%AA#Urdu	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel	steel		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BE%E0%A4%A4&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BE%E0%A4%A4			object							
estábulo	estábulo; A. ist̤abal: ← L., Gk	अस्तबल	astabala	اَصْطَبَل	https://en.wiktionary.org/wiki/%D8%A7%D8%B5%D8%B7%D8%A8%D9%84#Urdu	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	1. stable. 2. lumber-room, junk-room.	घोड़े को अस्तबल में लेकर खाना दो। ghoṛe ko astabal mẽ lekar khānā do. Take the horse to the stable and give it some food.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%AC%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%AC%E0%A4%B2	Persian?			masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो
estirar		इस्तरी	istarī	استری	https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%AA%D8%B1%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press	1. an iron. 2. ironing. — ~ करना, to iron.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%87%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80				fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो
fita		फ़ीता	fītā	 ⁧فیتہ⁩		noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace & tape; tape measure & ribbon	1. lace (as of a shoe). 2. tape. 3. ribbon. — लाल ~, m. red tape.	उसके जूते के फ़ीते खुल गए। uske jūte ke fīte khul gae. His shoelaces became untied.	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A5%9E%E0%A5%80%E0%A4%A4%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AB%E0%A4%BC%E0%A5%80%E0%A4%A4%E0%A4%BE				masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो
gentio		जेंटू	jẽṭū	⁧جینٹو⁩		noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo				https://en.wiktionary.org/wiki/%E0%A4%9C%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A5%82#Hindi				masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ
holandês		ओलंदेज़	olandez	ولندیز	https://en.wiktionary.org/wiki/%D9%88%D9%84%D9%86%D8%AF%DB%8C%D8%B2#Urdu	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m or f by sense	(dated) Dutchman; citizen of Holland 		 कमलापति त्रिपाठी [kamlāpti tripāṭhī], बंदी की चेतना [bandī kī cetnā], नागरीप्रचारिणी सभा [nāgrīpracāriṇī sabhā]: भारत में कतिपय विदेशी शक्तियाँ मैदान में उतर पड़ी थीं। पोर्चुगीज, ओलंदेज, फरासीसी, अंग्रेज आदि हजारों मील की यात्रा करके […] bhārat mẽ katipay videśī śaktiyā̃ maidān mẽ utar paṛī thī̃. porcugīj, olandej, pharāsīsī, aṅgrej ādi hajārõ mīl kī yātrā karke […] Many foreign powers had entered the fray in India. The Portuguese, Dutch, French, English, and others travelled thousands of miles […] Declension		https://en.wiktionary.org/wiki/%E0%A4%93%E0%A4%B2%E0%A4%82%E0%A4%A6%E0%A5%87%E0%A4%9C%E0%A4%BC#Hindi										
hospital		अस्पताल	aspatāla	اَسْپَتال⁩	https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D9%BE%D8%AA%D8%A7%D9%84#Urdu	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	hospital		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%A4%E0%A4%BE%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%A4%E0%A4%BE%E0%A4%B2#Hindi				masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो
igreja		गिरजा	girajā	⁧گِرْجا⁩	https://en.wiktionary.org/wiki/%DA%AF%D8%B1%D8%AC%D8%A7#Urdu	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	a church; chapel. — गिरजा-घर, m. a church.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%97%E0%A4%BF%E0%A4%B0%E0%A4%9C%E0%A4%BE#Hindi	alternative form: गिर्जा	Christianity	religion	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो
inglês	Englishman	अँग्रेज़	am̐grēz			noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m.	English person (Englishman or Englishwoman)	an Englishman		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A5%9B&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%9C%E0%A4%BC										
inglês	Englishman	अंग्रेज़	aṅgrez			noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m or f by sense 	English person (Englishman or Englishwoman)	an Englishman		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A5%9B&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%81%E0%A4%97%E0%A5%8D%E0%A4%B0%E0%A5%87%E0%A4%9C%E0%A4%BC										
janela		जंगला	jaṅglā	جَن٘گْلا⁩	https://en.wiktionary.org/wiki/%D8%AC%D9%86%DA%AF%D9%84%D8%A7#Urdu	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	fencing, railing & grille-fitted window			https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%9C%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%9C%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A4%BE#Hindi				masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो
leilão	leilão: ← A. (al) a'lām	नीलाम	nīlāma	 ⁧نیلام⁩		noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m. & adv.	auction (a public event where goods are sold through bidding)	1. m. an auction. 2. adv. by auction; at auction. — ~ करना, or कराना, to sell by auction. ~ ख़रीदना, to buy at auction. ~ पर चढ़ना		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE%E0%A4%AE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%A8%E0%A5%80%E0%A4%B2%E0%A4%BE%E0%A4%AE				masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो
martelo		मारतौल	mārataula	مارتول	https://en.wiktionary.org/wiki/%D9%85%D8%A7%D8%B1%D8%AA%D9%88%D9%84#Urdu	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]	m.	a heavy hammer, hammer 	obs. a heavy hammer.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%8C%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%A4%E0%A5%8C%E0%A4%B2	alternative मार्तोल (mārtol), मारतोल (mārtol)			masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो
martelo		मार्तोल	mārtol			noun		m	hammer														
masto		मस्तूल	mastūla			noun		m.	mast	mast		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%B2&searchhws=yes&matchtype=exact											
mestre		मिस्तरी	mistarī			noun		m.	skilled tradesman	a skilled tradesman; mechanic. — मिस्तरी-ख़ाना, m. workshop.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AE%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact		alternative spelling मिस्त्री									
mestre		मिस्त्री	mistrī	 ⁧مِسْتْری⁩		noun	(Delhi Hindi) IPA(key): /mɪs.t̪ɾiː/	m.	mechanic & artisan, craftsman	a skilled tradesman; mechanic. — मिस्तरी-ख़ाना, m. workshop.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AE%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AE%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%80	alternative spelling मिस्तरी			masc ī-stem	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्री	मिस्त्रियों	मिस्त्रियो
outubro	October	अक्तूबर	aktūbara	اَکْتُوبَر⁩	https://en.wiktionary.org/wiki/%D8%A7%DA%A9%D8%AA%D9%88%D8%A8%D8%B1#Urdu	noun	(Delhi Hindi) IPA(key): /ək.t̪uː.bəɾ/, [ɐk.t̪uː.bɐɾ]	m.	October	October		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%AC%E0%A4%B0&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%95%E0%A5%8D%E0%A4%A4%E0%A5%82%E0%A4%AC%E0%A4%B0	English?		month							
padre		पादरी	pādarī	پادْری⁩	https://en.wiktionary.org/wiki/%D9%BE%D8%A7%D8%AF%D8%B1%DB%8C#Urdu	noun	(Delhi Hindi) IPA(key): /pɑːd̪.ɾiː/, [päːd̪.ɾiː]	m.	Christian priest or minister; chaplain.	1. Christian priest or minister; chaplain. 2. missionary.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AA%E0%A4%BE%E0%A4%A6%E0%A4%B0%E0%A5%80&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%BE%E0%A4%A6%E0%A4%B0%E0%A5%80		religion		masc ī-stem	पादरी	पादरी	पादरी	पादरी	पादरियों	पादरियो
pipa		पीपा	pīpā	پیپا		noun	(Delhi Hindi) IPA(key): /piː.pɑː/, [piː.päː]	m.	cylinder, barrel, cask	1. a cask, barrel. 2. cylinder (of gas). 3. engin. a pontoon.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AA%E0%A5%80%E0%A4%AA%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A5%80%E0%A4%AA%E0%A4%BE			object	masc ā-stem	पीपा	पीपे	पीपे	पीपे	पीपों	पीपो
pistola		पिस्तौल	pistaula	پسطول		noun	(Delhi Hindi) IPA(key): /pɪs.t̪ɔːl/	f.	pistol, gun	a pistol; revolver.	पिस्तौल चलाना ― pistaul calānā ― to fire a pistol	https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AA%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8C%E0%A4%B2&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AA%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A5%8C%E0%A4%B2			object	fem cons-stem	पिस्तौल	पिस्तौल	पिस्तौल	पिस्तौलें	पिस्तौलों	पिस्तौलो
pompa		बंबा	bambā	بمبہ⁩	https://en.wiktionary.org/wiki/%D8%A8%D9%85%D8%A8%DB%81#Urdu	noun	(Delhi Hindi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	1. a pump. 2. reg. (W.). a water-channel.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%AC%E0%A4%82%E0%A4%AC%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%AC%E0%A4%82%E0%A4%AC%E0%A4%BE				masc ā-stem	बंबा	बंबे	बंबे	बंबे	बंबों	बंबो
saia		साया	sāyā	سایہ⁩	https://en.wiktionary.org/wiki/%D8%B3%D8%A7%DB%8C%DB%81#Urdu	noun	(Delhi Hindi) IPA(key): /sɑː.jɑː/, [säː.jäː]	m.	petticoat	petticoat, undershirt.		https://dsal.uchicago.edu/cgi-bin/app/mcgregor_query.py?qs=%E0%A4%B8%E0%A4%BE%E0%A4%AF%E0%A4%BE&searchhws=yes&matchtype=exact	https://en.wiktionary.org/wiki/%E0%A4%B8%E0%A4%BE%E0%A4%AF%E0%A4%BE			clothing	masc ā-stem	साया	साए, साये	साए, साये	साए, साये	सायों	सायो
